Opponent ,HI ASSISTS - Player,HI ASSISTS - Value,HI REBOUNDS - Player,HI REBOUNDS - Value,HI POINTS - Player,HI POINTS - Value,Won or Lost,Home or Away,W-L,DATE,RESULT
Minnesota,Gasol,6,Aldridge,19,DeRozan,28,Won,Home,1-0,18-10-2019,W112-108
Portland,DeRozan,9,Aldridge,8,DeRozan,28,Draw,Away,1-1,21-10-2019,L121-108
Los Angeles,DeRozan,14,Cunningham,12,Aldridge,37,Won,Away,2-1,23-10-2019,W143-142 OT
Indiana,DeRozan,4,Aldridge,13,DeRozan,18,Draw,Home,2-2,25-10-2019,L116-96
Los Angeles,DeRozan,8,DeRozan,12,DeRozan,30,Won,Home,3-2,28-10-2019,W110-106
Dallas,DeRozan,9,Gay,11,DeRozan,34,Won,Home,4-2,30-10-2019,W113-108 OT
Phoenix,Forbes,7,Gasol,9,DeRozan,25,Won,Away,5-2,01-11-2019,W120-90
New Orleans,Mills,7,Aldridge,12,DeRozan,26,Won,Home,6-2,04-11-2019,W109-95
Orlando,DeRozan,5,Gasol,8,DeRozan,25,Won,Home,6-3,05-11-2019,L117-110
Miami,DeRozan,8,Aldridge,16,Mills,20,Won,Away,6-4,08-11-2019,L95-88
Houston,White,8,DeRozan,11,Aldridge,27,Won,Home,7-4,11-11-2019,W96-89
Sacramento,DeRozan,8,Aldridge,18,DeRozan,23,Won,Away,7-5,13-11-2019,L104-99
Phoenix,DeRozan,4,Aldridge,12,DeRozan,24,Won,Away,7-6,15-11-2019,L116-96
LA,DeRozan,5,Aldridge,16,DeRozan,34,Draw,Away,7-7,16-11-2019,L116-111
Golden State,DeRozan,9,Aldridge,18,Aldridge,24,Won,Home,8-7,19-11-2019,W104-92
New Orleans,DeRozan,5,Aldridge,10,DeRozan,21,Draw,Away,8-8,20-11-2019,L140-126
Memphis,DeRozan,5,Aldridge,11,DeRozan,24,Lost,Home,8-9,22-11-2019,L104-103
Indiana,Gay,7,Aldridge,14,Aldridge,33,Draw,Away,9-9,24-11-2019,W111-100
Milwaukee,DeRozan,7,Cunningham,10,DeRozan,34,Lost,Away,9-10,25-11-2019,L135-129
Chicago,Forbes,6,DeRozan,8,DeRozan,21,Draw,Away,10-10,27-11-2019,W108-107
Minnesota,White,4,Aldridge,9,Poeltl,14,Lost,Away,10-11,29-11-2019,L128-89
Houston,White,9,Gay,8,Aldridge,20,Lost,Home,10-12,01-12-2019,L136-105
Portland,DeRozan,6,DeRozan,8,DeRozan,36,Lost,Home,11-12,03-12-2019,W131-118
Utah,DeRozan,7,Poeltl,7,Poeltl,20,Lost,Away,11-13,05-12-2019,L139-105
Los Angeles,White,5,Aldridge,9,DeRozan,32,Lost,Away,11-14,06-12-2019,L121-113
Los Angeles,DeRozan,9,DeRozan,8,DeRozan,36,Lost,Home,12-14,08-12-2019,W133-120
Utah,DeRozan,8,Gay,15,DeRozan,26,Lost,Home,13-14,10-12-2019,W110-97
Phoenix,DeRozan,9,Forbes,11,Forbes,24,Draw,Home,14-14,12-12-2019,W111-86
LA,DeRozan,7,Gay,6,Aldridge,27,Won,Home,15-14,14-12-2019,W125-87
Chicago,Gay,4,Aldridge,12,Aldridge,29,Draw,Home,15-15,16-12-2019,L98-93
Philadelphia,DeRozan,7,Aldridge,10,Gay,21,Won,Home,16-15,18-12-2019,W123-96
Orlando,DeRozan,6,DeRozan,7,Aldridge,20,Won,Away,17-15,20-12-2019,W129-90
Minnesota,DeRozan,8,Aldridge,9,Forbes,22,Won,Home,18-15,22-12-2019,W124-98
Houston,DeRozan,8,Gay,8,DeRozan,28,Won,Away,18-16,23-12-2019,L108-101
Denver,DeRozan,5,Poeltl,11,DeRozan,30,Won,Home,19-16,27-12-2019,W111-103
Denver,DeRozan,5,Aldridge,7,Aldridge,24,Won,Away,19-17,29-12-2019,L102-99
LA,Forbes,7,DeRozan,13,Aldridge,38,Won,Away,20-17,30-12-2019,W122-111
Boston,DeRozan,10,Aldridge,9,Aldridge,32,Won,Home,21-17,01-01-2019,W120-111
Toronto,DeRozan,11,DeRozan,14,Aldridge,23,Won,Home,22-17,04-01-2019,W125-107
