Create New File,Make Directory,New Challenge
"copy README.md  ""2020 Week 01- Video Accounting Formatting"" ","md ""2020 Week 01- Video Accounting Formatting"" ",2020 Week 01- Video Accounting Formatting
"copy README.md  ""2020 Week 02- VideoCleaning Time"" ","md ""2020 Week 02- VideoCleaning Time"" ",2020 Week 02- VideoCleaning Time
"copy README.md  ""2020 Week 03- VideoNBA Standings"" ","md ""2020 Week 03- VideoNBA Standings"" ",2020 Week 03- VideoNBA Standings
"copy README.md  ""2020 Week 04- VideoC&BS Co- Store Survey deduplication"" ","md ""2020 Week 04- VideoC&BS Co- Store Survey deduplication"" ",2020 Week 04- VideoC&BS Co- Store Survey deduplication
"copy README.md  ""2020 Week 05- VideoTechnique- Standard Competition Rank"" ","md ""2020 Week 05- VideoTechnique- Standard Competition Rank"" ",2020 Week 05- VideoTechnique- Standard Competition Rank
"copy README.md  ""2020 Week 06- VideoC&BS Co- Currency Conversion"" ","md ""2020 Week 06- VideoC&BS Co- Currency Conversion"" ",2020 Week 06- VideoC&BS Co- Currency Conversion
"copy README.md  ""2020 Week 07- VideoCounting People Past & Present"" ","md ""2020 Week 07- VideoCounting People Past & Present"" ",2020 Week 07- VideoCounting People Past & Present
"copy README.md  ""2020 Week 08- VideoComparing Actuals vs Budget / Profitable levels"" ","md ""2020 Week 08- VideoComparing Actuals vs Budget / Profitable levels"" ",2020 Week 08- VideoComparing Actuals vs Budget / Profitable levels
"copy README.md  ""2020 Week 09- VideoC&BS Co- Political Monitoring"" ","md ""2020 Week 09- VideoC&BS Co- Political Monitoring"" ",2020 Week 09- VideoC&BS Co- Political Monitoring
"copy README.md  ""2020 Week 10- VideoC&BS Co- A Logic Grid Puzzle"" ","md ""2020 Week 10- VideoC&BS Co- A Logic Grid Puzzle"" ",2020 Week 10- VideoC&BS Co- A Logic Grid Puzzle
"copy README.md  ""2020 Week 11- VideoC&BS Co- Knapsack Problem"" ","md ""2020 Week 11- VideoC&BS Co- Knapsack Problem"" ",2020 Week 11- VideoC&BS Co- Knapsack Problem
"copy README.md  ""2020 Week 12- VideoC&BS Co- Messy Data Clean Up"" ","md ""2020 Week 12- VideoC&BS Co- Messy Data Clean Up"" ",2020 Week 12- VideoC&BS Co- Messy Data Clean Up
"copy README.md  ""2020 Week 13- VideoC&BS Co IT-Analysing Support Desk SLA Compliance"" ","md ""2020 Week 13- VideoC&BS Co IT-Analysing Support Desk SLA Compliance"" ",2020 Week 13- VideoC&BS Co IT-Analysing Support Desk SLA Compliance
"copy README.md  ""2020 Week 14- VideoPreppin' Data to Build a Spider Chart"" ","md ""2020 Week 14- VideoPreppin' Data to Build a Spider Chart"" ",2020 Week 14- VideoPreppin' Data to Build a Spider Chart
"copy README.md  ""2020 Week 15- VideoMarket Basket Analysis"" ","md ""2020 Week 15- VideoMarket Basket Analysis"" ",2020 Week 15- VideoMarket Basket Analysis
"copy README.md  ""2020 Week 16- VideoPreppin' the un-Visualisable"" ","md ""2020 Week 16- VideoPreppin' the un-Visualisable"" ",2020 Week 16- VideoPreppin' the un-Visualisable
"copy README.md  ""2020 Week 17- VideoNetflix Usage"" ","md ""2020 Week 17- VideoNetflix Usage"" ",2020 Week 17- VideoNetflix Usage
"copy README.md  ""2020 Week 18- VideoLiverpool Line-ups"" ","md ""2020 Week 18- VideoLiverpool Line-ups"" ",2020 Week 18- VideoLiverpool Line-ups
"copy README.md  ""2020 Week 19- VideoLiverpool Line-ups (Part 2)"" ","md ""2020 Week 19- VideoLiverpool Line-ups (Part 2)"" ",2020 Week 19- VideoLiverpool Line-ups (Part 2)
"copy README.md  ""2020 Week 20- VideoCipher Solving"" ","md ""2020 Week 20- VideoCipher Solving"" ",2020 Week 20- VideoCipher Solving
"copy README.md  ""2020 Week 21- VideoCompetitor Analysis"" ","md ""2020 Week 21- VideoCompetitor Analysis"" ",2020 Week 21- VideoCompetitor Analysis
"copy README.md  ""2020 Week 22- VideoCreating Data"" ","md ""2020 Week 22- VideoCreating Data"" ",2020 Week 22- VideoCreating Data
"copy README.md  ""2020 Week 23- VideoLet's Get Quizzical"" ","md ""2020 Week 23- VideoLet's Get Quizzical"" ",2020 Week 23- VideoLet's Get Quizzical
"copy README.md  ""2020 Week 24- VideoHistorical Battles"" ","md ""2020 Week 24- VideoHistorical Battles"" ",2020 Week 24- VideoHistorical Battles
"copy README.md  ""2020 Week 25- VideoRoman Numerals"" ","md ""2020 Week 25- VideoRoman Numerals"" ",2020 Week 25- VideoRoman Numerals
"copy README.md  ""2019 Week 01- What colour cars are selling"" ","md ""2019 Week 01- What colour cars are selling"" ",2019 Week 01- What colour cars are selling
"copy README.md  ""2019 Week 02- Windy, wet or both"" ","md ""2019 Week 02- Windy, wet or both"" ","2019 Week 02- Windy, wet or both"
"copy README.md  ""2019 Week 03- Mobile phone contract revenue"" ","md ""2019 Week 03- Mobile phone contract revenue"" ",2019 Week 03- Mobile phone contract revenue
"copy README.md  ""2019 Week 04- NBA player profile (pane) analysis"" ","md ""2019 Week 04- NBA player profile (pane) analysis"" ",2019 Week 04- NBA player profile (pane) analysis
"copy README.md  ""2019 Week 05- Balances, statements, and complaints"" ","md ""2019 Week 05- Balances, statements, and complaints"" ","2019 Week 05- Balances, statements, and complaints"
"copy README.md  ""2019 Week 06- C&BS Co- purveyors of soap"" ","md ""2019 Week 06- C&BS Co- purveyors of soap"" ",2019 Week 06- C&BS Co- purveyors of soap
"copy README.md  ""2019 Week 07- C&BS Co- bubbling distribution problems"" ","md ""2019 Week 07- C&BS Co- bubbling distribution problems"" ",2019 Week 07- C&BS Co- bubbling distribution problems
"copy README.md  ""2019 Week 08- C&BS Co- accounting for slippery thieves"" ","md ""2019 Week 08- C&BS Co- accounting for slippery thieves"" ",2019 Week 08- C&BS Co- accounting for slippery thieves
"copy README.md  ""2019 Week 09- C&BS Co- scouring Twitter feedback"" ","md ""2019 Week 09- C&BS Co- scouring Twitter feedback"" ",2019 Week 09- C&BS Co- scouring Twitter feedback
"copy README.md  ""2019 Week 10- C&BS Co- freshening up a mailing list"" ","md ""2019 Week 10- C&BS Co- freshening up a mailing list"" ",2019 Week 10- C&BS Co- freshening up a mailing list
"copy README.md  ""2019 Week 11- Parsing JSON data"" ","md ""2019 Week 11- Parsing JSON data"" ",2019 Week 11- Parsing JSON data
"copy README.md  ""2019 Week 12- C&BS Co- sanitizing system downtime"" ","md ""2019 Week 12- C&BS Co- sanitizing system downtime"" ",2019 Week 12- C&BS Co- sanitizing system downtime
"copy README.md  ""2019 Week 13- C&BS Co- sniffing out balance issues"" ","md ""2019 Week 13- C&BS Co- sniffing out balance issues"" ",2019 Week 13- C&BS Co- sniffing out balance issues
"copy README.md  ""2019 Week 14- Meal deals at Whyte's Cafe"" ","md ""2019 Week 14- Meal deals at Whyte's Cafe"" ",2019 Week 14- Meal deals at Whyte's Cafe
"copy README.md  ""2019 Week 15- Finding weird client behaviour"" ","md ""2019 Week 15- Finding weird client behaviour"" ",2019 Week 15- Finding weird client behaviour
"copy README.md  ""2019 Week 16- C&BS Co- a 15 perScent discount!"" ","md ""2019 Week 16- C&BS Co- a 15 perScent discount!"" ",2019 Week 16- C&BS Co- a 15 perScent discount!
"copy README.md  ""2019 Week 17- Arrow's Impossibility Theorem"" ","md ""2019 Week 17- Arrow's Impossibility Theorem"" ",2019 Week 17- Arrow's Impossibility Theorem
"copy README.md  ""2019 Week 18- C&BS Co- Endless Legend of the Soap Heroes"" ","md ""2019 Week 18- C&BS Co- Endless Legend of the Soap Heroes"" ",2019 Week 18- C&BS Co- Endless Legend of the Soap Heroes
"copy README.md  ""2019 Week 19- C&BS Co- mud, sweat, & bicycle gears"" ","md ""2019 Week 19- C&BS Co- mud, sweat, & bicycle gears"" ","2019 Week 19- C&BS Co- mud, sweat, & bicycle gears"
"copy README.md  ""2019 Week 20- C&BS Co- paying for hospital scrubs - Part 1"" ","md ""2019 Week 20- C&BS Co- paying for hospital scrubs - Part 1"" ",2019 Week 20- C&BS Co- paying for hospital scrubs - Part 1
"copy README.md  ""2019 Week 21- C&BS Co- paying for hospital scrubs - Part 2"" ","md ""2019 Week 21- C&BS Co- paying for hospital scrubs - Part 2"" ",2019 Week 21- C&BS Co- paying for hospital scrubs - Part 2
